text,label
Yeah Messi will likely break it and Mbappe will break it after,prediction
"This all started because Diouf decided to move towards the middle of the pitch for what?? Left a huge hole and as soon as Norway attacked that space, boom, goal.",analysis
I was rewatching the 7-1 game the other day and I realised that his opening goal in that game was his last ever World Cup goal.,reaction
"messi's record was nice to see for a while, this freak might do it in 3 world cups",prediction
"Honestly, in World Cups the name Ronaldo should be reserved exclusively for R9 at this point.",reaction
"Before anyone feels bad for Algeria, the real victims are going to be the Portugal players watching a certain teammate trying to score a goal from the edge of the box all game long while they are completely free. Edit: Well, I was almost right. Turns out hes afk in the box and ruining every chance the moment the ball is in his vicinity.",humor
"Currently first place potential path would be: Sweden-Germany-Morocco/Netherlands-Spain-Final. And second: Ivory Coast-Brazil-England/Portugal-Argentina-Final. Yeeks, either path looks damn hard.",analysis
"Jordi Alba literally made an entire career out of two tenants: - if Messi has ball, make a run - if you have ball, disregard all teammates and pass to Messi And he was a top 5 left back for like a decade straight doing that Edit: so today ive learned that tenets and tenants are different words. Jordi Alba was probably not Messi's landlord, though i have yet to confirm this.",analysis
"While I hope so, realistically won't they rest all their starters?",prediction
We’re gonna have to deal with the terrifying realization that he came to MLS to rest and build his strength for the World Cup,prediction
I think Cristiano's too old to think about having healthy knees.,humor
He looks constipated in this WC. Don't know what's wrong with him.,reaction
"You get to score two goals, and you get to score two goals, and you get to score two goals....",humor
Add in Harry Kane tomorrow for another brace,prediction
Cristian Ronald. Ronaldo's better sewey,humor
"It's pretty jarring having not watched him for 4 years since the last WC. You don't see teams play around their 10 like that at all anymore, literally every objective seems to be to find messi once you enter the other half of the pitch (sometimes earlier). It's mad how gracefully his game has aged considering I was under the impression he was borderline geriatric coming into the tournament.",analysis
"I sweared for the longest time that he was going to send the record to the stratosphere but nope, nothing afterwards",prediction
It’s not even “give the ball to him and pray”. It’s just “give the ball to him and enjoy”,humor
Jonathan David scores a hat trick and still gets demoted to 'and others' in the Messi vs Mbappé vs Haaland agenda.,analysis
"He is unreal at finding chances and reading positions too. Great pace, size, finishing, ideal striker really. People really do backflips over his game being like well he doesn't do this, that, whatever. But at the end of the day, you score more and you win, Haaland happens to score more than any other player",analysis
"Well they just saw this 10/10 performance. Man put in 3 successful tackles in the first 15 mins, a few key passes, and a hat trick. Yikes.",analysis
He just doesn't get to show off how well rounded he is at City all that much. But there are moments in City where you see it and certainly outside of City you see how complete a player he is.,analysis
"This is the day with the least amount of games (at least here, where the next game is at 1 AM on Wednesday) and yet it delivered).",prediction
Arsenal supporters cheering for Kane penalties and spurs supporters cheering for rice set pieces. The world cup can mend all.,humor
